Festline DDVP 50 EC	İnsektisitler	Sıvı Formülasyonlar	04.07.1994	2739	Dichlorvos	550 g/l	Doğal	
MRK DDVP 50 EC	İnsektisitler	Sıvı Formülasyonlar	06.11.1995	2855	Dichlorvos	550 g/l	Cansa	
Denkavepon 50 EC	İnsektisitler	Sıvı Formülasyonlar	20.05.1996	2936	Dichlorvos	550 g/l	Agrikem	
Aydın DDVP 550 EC	İnsektisitler	Sıvı Formülasyonlar	21.09.1996	2962	Dichlorvos	550 g/l	Aydın Kimya	
Adeko DDVP 50 EC	İnsektisitler	Sıvı Formülasyonlar	11.11.1996	3040	Dichlorvos	550 g/l	Adeko	
Didivip 550 EC	İnsektisitler	Sıvı Formülasyonlar	19.02.1997	3094	Dichlorvos	550 g/l	Agrikem	
Cansa DDVP 550 EC	İnsektisitler	Sıvı Formülasyonlar	25.06.1997	3197	Dichlorvos	550 g/l	Cansa	
Ödül DDVP 550 EC	İnsektisitler	Sıvı Formülasyonlar	27.06.1997	3203	Dichlorvos	550 g/l	Ödül İlaç	
Safa DDVP 550 EC	İnsektisitler	Sıvı Formülasyonlar	21.11.1997	3288	Dichlorvos	550 g/l	Safa	
Sönmez DDVP 55 EM	İnsektisitler	Sıvı Formülasyonlar	11.12.1998	3546	Dichlorvos	550 g/l	Sönmez İlaç	
Farmatek DDVP 550 EC	İnsektisitler	Sıvı Formülasyonlar	03.03.1999	3589	Dichlorvos	550 g/l	Farmatek	
Dedevap 1000 EC	İnsektisitler	Sıvı Formülasyonlar	25.05.1977	1096	Dichlorvos	1000 g/l	Bayer	
Bicron 24 EC	İnsektisitler	Sıvı Formülasyonlar	13.02.1985	1749	Dicrotophos	240 g/l	Hektaş	
Korumagor 40  EC	İnsektisitler	Sıvı Formülasyonlar	18.02.1975	971	Dimethoate	400 g/l	Koruma	
Mitigor 40 EC	İnsektisitler	Sıvı Formülasyonlar	11.05.1978	1153	Dimethoate	400 g/l	Midiltipi	
